Bx By Bz 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.9613601732e-05 
7.8000000000e-04 0.0000000000e+00 0.0000000000e+00 5.0474252930e-05 
1.5600000000e-03 0.0000000000e+00 0.0000000000e+00 5.1348737179e-05 
2.3400000000e-03 0.0000000000e+00 0.0000000000e+00 5.2237529453e-05 
3.1200000000e-03 0.0000000000e+00 0.0000000000e+00 5.3142785036e-05 
3.9000000000e-03 0.0000000000e+00 0.0000000000e+00 5.4075429580e-05 
4.6800000000e-03 0.0000000000e+00 0.0000000000e+00 5.5018140120e-05 
5.4600000000e-03 0.0000000000e+00 0.0000000000e+00 5.5990758192e-05 
6.2400000000e-03 0.0000000000e+00 0.0000000000e+00 5.6987808057e-05 
7.0200000000e-03 0.0000000000e+00 0.0000000000e+00 5.7996118630e-05 
7.8000000000e-03 0.0000000000e+00 0.0000000000e+00 5.9034220612e-05 
8.5800000000e-03 0.0000000000e+00 0.0000000000e+00 6.0098653630e-05 
9.3600000000e-03 0.0000000000e+00 0.0000000000e+00 6.1180519406e-05 
1.0140000000e-02 0.0000000000e+00 0.0000000000e+00 6.2281383725e-05 
1.0920000000e-02 0.0000000000e+00 0.0000000000e+00 6.3424548716e-05 
1.1700000000e-02 0.0000000000e+00 0.0000000000e+00 6.4587388624e-05 
1.2480000000e-02 0.0000000000e+00 0.0000000000e+00 6.5775611147e-05 
1.3260000000e-02 0.0000000000e+00 0.0000000000e+00 6.6992410575e-05 
1.4040000000e-02 0.0000000000e+00 0.0000000000e+00 6.8238286476e-05 
1.4820000000e-02 0.0000000000e+00 0.0000000000e+00 6.9499706588e-05 
1.5600000000e-02 0.0000000000e+00 0.0000000000e+00 7.0812422200e-05 
1.6380000000e-02 0.0000000000e+00 0.0000000000e+00 7.2159869451e-05 
1.7160000000e-02 0.0000000000e+00 0.0000000000e+00 7.3533901304e-05 
1.7940000000e-02 0.0000000000e+00 0.0000000000e+00 7.4932049465e-05 
1.8720000000e-02 0.0000000000e+00 0.0000000000e+00 7.6382542611e-05 
1.9500000000e-02 0.0000000000e+00 0.0000000000e+00 7.7850600064e-05 
2.0280000000e-02 0.0000000000e+00 0.0000000000e+00 7.9355057387e-05 
2.1060000000e-02 0.0000000000e+00 0.0000000000e+00 8.0914750142e-05 
2.1840000000e-02 0.0000000000e+00 0.0000000000e+00 8.2515697577e-05 
2.2620000000e-02 0.0000000000e+00 0.0000000000e+00 8.4148267779e-05 
2.3400000000e-02 0.0000000000e+00 0.0000000000e+00 8.5823838890e-05 
2.4180000000e-02 0.0000000000e+00 0.0000000000e+00 8.7544909475e-05 
2.4960000000e-02 0.0000000000e+00 0.0000000000e+00 8.9307317685e-05 
2.5740000000e-02 0.0000000000e+00 0.0000000000e+00 9.1123524908e-05 
2.6520000000e-02 0.0000000000e+00 0.0000000000e+00 9.2981901544e-05 
2.7300000000e-02 0.0000000000e+00 0.0000000000e+00 9.4894438371e-05 
2.8080000000e-02 0.0000000000e+00 0.0000000000e+00 9.6868766705e-05 
2.8860000000e-02 0.0000000000e+00 0.0000000000e+00 9.8900357552e-05 
2.9640000000e-02 0.0000000000e+00 0.0000000000e+00 1.0096228158e-04 
3.0420000000e-02 0.0000000000e+00 0.0000000000e+00 1.0310350117e-04 
3.1200000000e-02 0.0000000000e+00 0.0000000000e+00 1.0531740118e-04 
3.1980000000e-02 0.0000000000e+00 0.0000000000e+00 1.0756146192e-04 
3.2760000000e-02 0.0000000000e+00 0.0000000000e+00 1.0989368311e-04 
3.3540000000e-02 0.0000000000e+00 0.0000000000e+00 1.1228869975e-04 
3.4320000000e-02 0.0000000000e+00 0.0000000000e+00 1.1475283682e-04 
3.5100000000e-02 0.0000000000e+00 0.0000000000e+00 1.1728959726e-04 
3.5880000000e-02 0.0000000000e+00 0.0000000000e+00 1.1990727653e-04 
3.6660000000e-02 0.0000000000e+00 0.0000000000e+00 1.2260548276e-04 
3.7440000000e-02 0.0000000000e+00 0.0000000000e+00 1.2538608513e-04 
3.8220000000e-02 0.0000000000e+00 0.0000000000e+00 1.2825028301e-04 
3.9000000000e-02 0.0000000000e+00 0.0000000000e+00 1.3119399955e-04 
3.9780000000e-02 0.0000000000e+00 0.0000000000e+00 1.3421649986e-04 
4.0560000000e-02 0.0000000000e+00 0.0000000000e+00 1.3739243906e-04 
4.1340000000e-02 0.0000000000e+00 0.0000000000e+00 1.4065925905e-04 
4.2120000000e-02 0.0000000000e+00 0.0000000000e+00 1.4398943982e-04 
4.2900000000e-02 0.0000000000e+00 0.0000000000e+00 1.4745029621e-04 
4.3680000000e-02 0.0000000000e+00 0.0000000000e+00 1.5105735569e-04 
4.4460000000e-02 0.0000000000e+00 0.0000000000e+00 1.5473743842e-04 
4.5240000000e-02 0.0000000000e+00 0.0000000000e+00 1.5853736026e-04 
4.6020000000e-02 0.0000000000e+00 0.0000000000e+00 1.6252897592e-04 
4.6800000000e-02 0.0000000000e+00 0.0000000000e+00 1.6662320122e-04 
4.7580000000e-02 0.0000000000e+00 0.0000000000e+00 1.7086938227e-04 
4.8360000000e-02 0.0000000000e+00 0.0000000000e+00 1.7527164076e-04 
4.9140000000e-02 0.0000000000e+00 0.0000000000e+00 1.7981543846e-04 
4.9920000000e-02 0.0000000000e+00 0.0000000000e+00 1.8445331836e-04 
5.0700000000e-02 0.0000000000e+00 0.0000000000e+00 1.8942229508e-04 
5.1480000000e-02 0.0000000000e+00 0.0000000000e+00 1.9451743574e-04 
5.2260000000e-02 0.0000000000e+00 0.0000000000e+00 1.9975747826e-04 
5.3040000000e-02 0.0000000000e+00 0.0000000000e+00 2.0519319922e-04 
5.3820000000e-02 0.0000000000e+00 0.0000000000e+00 2.1093010204e-04 
5.4600000000e-02 0.0000000000e+00 0.0000000000e+00 2.1678339981e-04 
5.5380000000e-02 0.0000000000e+00 0.0000000000e+00 2.2291481902e-04 
5.6160000000e-02 0.0000000000e+00 0.0000000000e+00 2.2934480046e-04 
5.6940000000e-02 0.0000000000e+00 0.0000000000e+00 2.3593969847e-04 
5.7720000000e-02 0.0000000000e+00 0.0000000000e+00 2.4288668879e-04 
5.8500000000e-02 0.0000000000e+00 0.0000000000e+00 2.5012900005e-04 
5.9280000000e-02 0.0000000000e+00 0.0000000000e+00 2.5760539342e-04 
6.0060000000e-02 0.0000000000e+00 0.0000000000e+00 2.6528942806e-04 
6.0840000000e-02 0.0000000000e+00 0.0000000000e+00 2.7364087175e-04 
6.1620000000e-02 0.0000000000e+00 0.0000000000e+00 2.8219383501e-04 
6.2400000000e-02 0.0000000000e+00 0.0000000000e+00 2.9107639566e-04 
6.3180000000e-02 0.0000000000e+00 0.0000000000e+00 3.0036991287e-04 
6.3960000000e-02 0.0000000000e+00 0.0000000000e+00 3.1015424291e-04 
6.4740000000e-02 0.0000000000e+00 0.0000000000e+00 3.2020939863e-04 
6.5520000000e-02 0.0000000000e+00 0.0000000000e+00 3.3092087484e-04 
6.6300000000e-02 0.0000000000e+00 0.0000000000e+00 3.4219199733e-04 
6.7080000000e-02 0.0000000000e+00 0.0000000000e+00 3.5390296718e-04 
6.7860000000e-02 0.0000000000e+00 0.0000000000e+00 3.6611932213e-04 
6.8640000000e-02 0.0000000000e+00 0.0000000000e+00 3.7919647992e-04 
6.9420000000e-02 0.0000000000e+00 0.0000000000e+00 3.9269630157e-04 
7.0200000000e-02 0.0000000000e+00 0.0000000000e+00 4.0678020450e-04 
7.0980000000e-02 0.0000000000e+00 0.0000000000e+00 4.2197538307e-04 
7.1760000000e-02 0.0000000000e+00 0.0000000000e+00 4.3789256713e-04 
7.2540000000e-02 0.0000000000e+00 0.0000000000e+00 4.5448862191e-04 
7.3320000000e-02 0.0000000000e+00 0.0000000000e+00 4.7202755930e-04 
7.4100000000e-02 0.0000000000e+00 0.0000000000e+00 4.9064070336e-04 
7.4880000000e-02 0.0000000000e+00 0.0000000000e+00 5.1020854618e-04 
7.5660000000e-02 0.0000000000e+00 0.0000000000e+00 5.3093735245e-04 
7.6440000000e-02 0.0000000000e+00 0.0000000000e+00 5.5274536600e-04 
7.7220000000e-02 0.0000000000e+00 0.0000000000e+00 5.7586703449e-04 
7.8000000000e-02 0.0000000000e+00 0.0000000000e+00 6.0062500415e-04 
7.8780000000e-02 0.0000000000e+00 0.0000000000e+00 6.2704827287e-04 
7.9560000000e-02 0.0000000000e+00 0.0000000000e+00 6.5443922766e-04 
8.0340000000e-02 0.0000000000e+00 0.0000000000e+00 6.8387396284e-04 
8.1120000000e-02 0.0000000000e+00 0.0000000000e+00 7.1568625746e-04 
8.1900000000e-02 0.0000000000e+00 0.0000000000e+00 7.4873408303e-04 
8.2680000000e-02 0.0000000000e+00 0.0000000000e+00 7.8433327377e-04 
8.3460000000e-02 0.0000000000e+00 0.0000000000e+00 8.2273186767e-04 
8.4240000000e-02 0.0000000000e+00 0.0000000000e+00 8.6339405505e-04 
8.5020000000e-02 0.0000000000e+00 0.0000000000e+00 9.0550578432e-04 
8.5800000000e-02 0.0000000000e+00 0.0000000000e+00 9.5335020451e-04 
8.6580000000e-02 0.0000000000e+00 0.0000000000e+00 1.0034763243e-03 
8.7360000000e-02 0.0000000000e+00 0.0000000000e+00 1.0567087401e-03 
8.8140000000e-02 0.0000000000e+00 0.0000000000e+00 1.1138628563e-03 
8.8920000000e-02 0.0000000000e+00 0.0000000000e+00 1.1765740626e-03 
8.9700000000e-02 0.0000000000e+00 0.0000000000e+00 1.2408309034e-03 
9.0480000000e-02 0.0000000000e+00 0.0000000000e+00 1.3135381090e-03 
9.1260000000e-02 0.0000000000e+00 0.0000000000e+00 1.3926241128e-03 
9.2040000000e-02 0.0000000000e+00 0.0000000000e+00 1.4744923217e-03 
9.2820000000e-02 0.0000000000e+00 0.0000000000e+00 1.5631455812e-03 
9.3600000000e-02 0.0000000000e+00 0.0000000000e+00 1.6621968010e-03 
9.4380000000e-02 0.0000000000e+00 0.0000000000e+00 1.7699667229e-03 
9.5160000000e-02 0.0000000000e+00 0.0000000000e+00 1.8861103430e-03 
9.5940000000e-02 0.0000000000e+00 0.0000000000e+00 2.0118627371e-03 
9.6720000000e-02 0.0000000000e+00 0.0000000000e+00 2.1503368486e-03 
9.7500000000e-02 0.0000000000e+00 0.0000000000e+00 2.2998140194e-03 
9.8280000000e-02 0.0000000000e+00 0.0000000000e+00 2.4619768839e-03 
9.9060000000e-02 0.0000000000e+00 0.0000000000e+00 2.6387048699e-03 
9.9840000000e-02 0.0000000000e+00 0.0000000000e+00 2.8376930114e-03 
1.0062000000e-01 0.0000000000e+00 0.0000000000e+00 3.0558309983e-03 
1.0140000000e-01 0.0000000000e+00 0.0000000000e+00 3.2929637935e-03 
1.0218000000e-01 0.0000000000e+00 0.0000000000e+00 3.5514141480e-03 
1.0296000000e-01 0.0000000000e+00 0.0000000000e+00 3.8364221435e-03 
1.0374000000e-01 0.0000000000e+00 0.0000000000e+00 4.1579440329e-03 
1.0452000000e-01 0.0000000000e+00 0.0000000000e+00 4.4968218356e-03 
1.0530000000e-01 0.0000000000e+00 0.0000000000e+00 4.8760024831e-03 
1.0608000000e-01 0.0000000000e+00 0.0000000000e+00 5.3140465170e-03 
1.0686000000e-01 0.0000000000e+00 0.0000000000e+00 5.8105806820e-03 
1.0764000000e-01 0.0000000000e+00 0.0000000000e+00 6.3438992575e-03 
1.0842000000e-01 0.0000000000e+00 0.0000000000e+00 6.9424445089e-03 
1.0920000000e-01 0.0000000000e+00 0.0000000000e+00 7.6012982056e-03 
1.0998000000e-01 0.0000000000e+00 0.0000000000e+00 8.2929130364e-03 
1.1076000000e-01 0.0000000000e+00 0.0000000000e+00 9.1669458896e-03 
1.1154000000e-01 0.0000000000e+00 0.0000000000e+00 1.0105555095e-02 
1.1232000000e-01 0.0000000000e+00 0.0000000000e+00 1.1133004203e-02 
