Bx By Bz 
6.0060000000e-02 0.0000000000e+00 0.0000000000e+00 2.1664569324e-04 
6.0840000000e-02 0.0000000000e+00 0.0000000000e+00 2.2346580786e-04 
6.1620000000e-02 0.0000000000e+00 0.0000000000e+00 2.3045049123e-04 
6.2400000000e-02 0.0000000000e+00 0.0000000000e+00 2.3770433668e-04 
6.3180000000e-02 0.0000000000e+00 0.0000000000e+00 2.4529378528e-04 
6.3960000000e-02 0.0000000000e+00 0.0000000000e+00 2.5328405077e-04 
6.4740000000e-02 0.0000000000e+00 0.0000000000e+00 2.6149548309e-04 
6.5520000000e-02 0.0000000000e+00 0.0000000000e+00 2.7024289231e-04 
6.6300000000e-02 0.0000000000e+00 0.0000000000e+00 2.7944733051e-04 
6.7080000000e-02 0.0000000000e+00 0.0000000000e+00 2.8901096522e-04 
6.7860000000e-02 0.0000000000e+00 0.0000000000e+00 2.9898731711e-04 
6.8640000000e-02 0.0000000000e+00 0.0000000000e+00 3.0966663416e-04 
6.9420000000e-02 0.0000000000e+00 0.0000000000e+00 3.2069111502e-04 
7.0200000000e-02 0.0000000000e+00 0.0000000000e+00 3.3219257943e-04 
7.0980000000e-02 0.0000000000e+00 0.0000000000e+00 3.4460155485e-04 
7.1760000000e-02 0.0000000000e+00 0.0000000000e+00 3.5760014813e-04 
7.2540000000e-02 0.0000000000e+00 0.0000000000e+00 3.7115313371e-04 
7.3320000000e-02 0.0000000000e+00 0.0000000000e+00 3.8547611400e-04 
7.4100000000e-02 0.0000000000e+00 0.0000000000e+00 4.0067633335e-04 
7.4880000000e-02 0.0000000000e+00 0.0000000000e+00 4.1665619695e-04 
7.5660000000e-02 0.0000000000e+00 0.0000000000e+00 4.3358414857e-04 
7.6440000000e-02 0.0000000000e+00 0.0000000000e+00 4.5139342295e-04 
7.7220000000e-02 0.0000000000e+00 0.0000000000e+00 4.7027547918e-04 
7.8000000000e-02 0.0000000000e+00 0.0000000000e+00 4.9049380277e-04 
